url,times_seen,associated_ips
https://raw.githubusercontent.com/komari-monitor/komari-agent/refs/heads/main/install.sh),290,129.153.156.223;129.153.86.229;129.159.42.31;129.80.200.33;138.2.224.62;138.2.232.2;138.2.234.34;138.2.98.41;140.245.67.111;141.148.0.209;141.148.175.56;149.118.140.58;149.118.147.229;149.118.158.79;158.178.224.89;161.118.210.146;161.33.210.117;163.176.212.61;165.1.75.106;168.110.104.103;193.123.242.254;213.35.105.22;64.110.116.201;64.110.90.250
https://sexy.pp.ua,290,129.153.156.223;129.153.86.229;129.159.42.31;129.80.200.33;138.2.224.62;138.2.232.2;138.2.234.34;138.2.98.41;140.245.67.111;141.148.0.209;141.148.175.56;149.118.140.58;149.118.147.229;149.118.158.79;158.178.224.89;161.118.210.146;161.33.210.117;163.176.212.61;165.1.75.106;168.110.104.103;193.123.242.254;213.35.105.22;64.110.116.201;64.110.90.250
http://47.86.190.58:60135/linux,8,204.93.116.102
http://45.81.234.64/10Gbins.sh,1,176.65.139.213
